trial_id,f0,f1,f2,kernel_size,dense_units,dense_dp,weight_decay,optimizer,lr,batch_size,use_plateau,status,best_epoch,train_acc,val_acc
5,128,256,256,7,128,0.3,4.726311111933952e-05,adam,0.0001,16,True,COMPLETED,16,0.96073716878891,0.6570512652397156
38,32,64,256,3,128,0.4,4.578772662888393e-06,adam,0.0005,16,True,COMPLETED,16,0.9631410241127014,0.6538461446762085
24,32,64,256,5,64,0.4,5.844476066973506e-06,adam,0.0005,32,True,COMPLETED,17,0.9054487347602844,0.6538461446762085
17,32,64,128,3,128,0.4,2.743043478381547e-05,adam,0.001,16,False,COMPLETED,30,0.9743589758872986,0.6314102411270142
20,128,64,256,7,128,0.2,9.403614999484184e-06,rmsprop,0.0001,16,False,COMPLETED,16,0.94551283121109,0.6282051205635071
13,128,64,256,3,128,0.3,1.1844905074722785e-06,rmsprop,0.0005,16,True,COMPLETED,18,0.9591346383094788,0.6185897588729858
37,32,64,256,3,64,0.4,1.0322333113531436e-05,adam,0.0005,16,False,COMPLETED,13,0.8790063858032227,0.6153846383094788
39,64,64,256,3,128,0.3,2.9159709503615547e-06,adam,0.0005,32,True,COMPLETED,18,0.9759615659713744,0.6121794581413269
36,64,64,256,5,64,0.4,6.786446896999284e-06,adam,0.0005,32,True,COMPLETED,18,0.8846153616905212,0.5993589758872986
31,128,64,256,3,64,0.4,1.7500478839025897e-05,adam,0.0005,16,True,COMPLETED,20,0.8060897588729858,0.5993589758872986
4,32,64,128,3,128,0.2,2.685272714053744e-05,rmsprop,0.0001,64,False,COMPLETED,25,0.8717948794364929,0.5961538553237915
6,128,64,256,3,256,0.3,2.223834398190109e-06,adam,0.001,32,False,COMPLETED,14,0.99198716878891,0.5961538553237915
7,128,256,256,7,128,0.2,5.105934690849343e-05,sgd,0.001,64,True,COMPLETED,34,0.8862179517745972,0.5961538553237915
18,64,256,256,7,128,0.2,4.729436202637012e-05,rmsprop,0.001,16,True,COMPLETED,26,0.9575320482254028,0.5929487347602844
22,64,128,128,5,256,0.4,5.582095371314753e-06,sgd,0.001,64,False,COMPLETED,34,0.8645833134651184,0.5897436141967773
0,128,64,256,7,64,0.2,3.507215228728303e-05,rmsprop,0.0001,16,False,COMPLETED,20,0.9278846383094788,0.5897436141967773
2,32,128,256,3,64,0.4,8.128524746629793e-05,rmsprop,0.0005,16,False,COMPLETED,24,0.9431089758872986,0.5897436141967773
15,32,128,128,7,128,0.3,3.286746057803035e-06,sgd,0.0005,32,True,COMPLETED,37,0.7323718070983887,0.5865384340286255
28,64,128,128,3,64,0.2,1.51149980504743e-06,rmsprop,0.0005,64,True,COMPLETED,15,0.9575320482254028,0.5833333134651184
27,32,256,128,7,128,0.2,1.353425444136103e-05,rmsprop,0.001,32,True,COMPLETED,19,0.9823718070983888,0.5641025900840759
30,64,256,256,5,64,0.2,1.2107327077037935e-05,rmsprop,0.001,16,False,COMPLETED,17,0.9054487347602844,0.5641025900840759
29,64,128,128,7,256,0.3,1.620301758122103e-05,rmsprop,0.001,32,False,COMPLETED,26,0.967147409915924,0.557692289352417
14,32,256,256,7,64,0.3,7.711862216981024e-05,sgd,0.001,32,True,COMPLETED,38,0.75,0.5128205418586731
35,64,256,256,7,64,0.4,4.8375332658590165e-06,sgd,0.001,32,False,COMPLETED,37,0.6931089758872986,0.5032051205635071
1,128,64,256,3,64,0.2,1.0137583660859015e-06,rmsprop,0.0001,64,True,COMPLETED,35,0.5496794581413269,0.4294871687889099
10,128,128,128,7,128,0.2,1.7887307871975e-06,adam,0.001,32,False,COMPLETED,20,0.8998397588729858,0.4294871687889099
19,32,64,256,7,64,0.3,6.683401779428952e-05,sgd,0.0005,16,False,COMPLETED,39,0.4206730723381042,0.4198718070983886
26,32,64,128,3,128,0.3,4.499991835674088e-05,sgd,0.0005,16,True,COMPLETED,16,0.2612179517745971,0.3076923191547394
12,128,64,256,5,64,0.2,1.7169648733932947e-06,sgd,0.0005,16,False,COMPLETED,15,0.1866987198591232,0.25
16,128,128,128,7,64,0.3,3.935858504752804e-06,sgd,0.0001,32,False,COMPLETED,10,0.1794871836900711,0.2211538404226303
8,32,256,256,5,64,0.3,4.035439859879942e-05,sgd,0.0005,16,True,COMPLETED,20,0.1706730723381042,0.2115384638309478
21,32,256,256,5,128,0.3,1.5289905806123778e-05,sgd,0.0001,32,False,COMPLETED,14,0.1963140964508056,0.2083333283662796
23,32,64,256,3,128,0.4,3.806871387360406e-05,sgd,0.0005,16,True,COMPLETED,16,0.1530448645353317,0.1923076957464218
34,128,256,128,7,256,0.2,2.24669700353512e-05,adam,0.001,64,False,COMPLETED,0,0.0929487198591232,0.0961538478732109
25,128,128,256,3,64,0.3,7.715817770883184e-05,rmsprop,0.001,16,False,COMPLETED,0,0.1105769202113151,0.0929487198591232
3,128,64,128,7,128,0.3,2.4612244291025357e-05,adam,0.001,64,True,COMPLETED,2,0.0945512801408767,0.0929487198591232
11,128,256,256,7,256,0.4,1.6899045670308515e-06,adam,0.001,32,False,COMPLETED,0,0.1049679517745971,0.0865384638309478
9,64,256,256,5,256,0.4,6.700829010008494e-05,adam,0.0005,64,False,FAILED,0,,
32,128,256,256,5,128,0.2,2.1816829689460077e-06,rmsprop,0.0001,16,True,FAILED,0,,
33,128,256,256,3,128,0.4,2.834241861553627e-05,adam,0.0001,64,False,FAILED,0,,
